date,difficulty,color,category,word_1,word_2,word_3,word_4
2023-07-01,Easiest,Yellow,GRAINS,BARLEY,OAT,RYE,SPELT
2023-07-01,Easy,Green,ROYAL TITLES,BARON,EARL,KING,PRINCE
2023-07-01,Medium,Blue,UNIVERSITIES,BROWN,DUKE,HOWARD,RICE
2023-07-01,Hard,Purple,BEST DIRECTOR OSCAR WINNERS,BONG,FORD,LEE,STONE
2023-07-02,Easiest,Yellow,MUSIC GENRES,JAZZ,POP,PUNK,RAP
2023-07-02,Easy,Green,WEB BROWSERS,CHROME,EDGE,OPERA,SAFARI
2023-07-02,Medium,Blue,LITTLE WOMEN SISTERS,AMY,BETH,JO,MEG
2023-07-02,Hard,Purple,LIL ___ RAPPERS,BABY,JON,KIM,WAYNE
2023-07-03,Easiest,Yellow,DOG BREEDS,BOXER,DALMATIAN,HUSKY,POODLE
2023-07-03,Easy,Green,ANIMAL NOSES,BEAK,MUZZLE,SNOUT,TRUNK
2023-07-03,Medium,Blue,TRAFFIC SIGNS,DETOUR,SLOW,STOP,YIELD
2023-07-03,Hard,Purple,SOUND ___,ASLEEP,BARRIER,BITE,WAVE
2023-07-04,Easiest,Yellow,60's BAND MEMBERS,BEACH BOY,BEATLE,BYRD,MONKEE
2023-07-04,Easy,Green,DANCE FADS,DOUGIE,MACARENA,MASHED POTATO,TWIST
2023-07-04,Medium,Blue,MAGAZINES,FORTUNE,ROLLING STONE,VOGUE,WIRED
2023-07-04,Hard,Purple,THINGS WITH LINKS,CHAIN,GOLF COURSE,SAUSAGE,WEBSITE
2023-07-05,Easiest,Yellow,CANDY BARS,BOUNTY,CRUNCH,HEATH,MILKY WAY
2023-07-05,Easy,Green,VIDEO GAME CONSOLES,DREAMCAST,GENESIS,SWITCH,WII
2023-07-05,Medium,Blue,EAR PARTS,ANVIL,COCHLEA,HAMMER,STIRRUP
2023-07-05,Hard,Purple,BAND NAMES MINUS NUMBERS,BLINK,MAROON,SUM,U
2023-07-06,Easiest,Yellow,DESSERTS,CHEESECAKE,FLAN,MOUSSE,TIRAMISU
2023-07-06,Easy,Green,MILD OATHS,DARN,FUDGE,HECK,SHOOT
2023-07-06,Medium,Blue,ANIMALS WITH TUSKS,ELEPHANT,HIPPO,NARWHAL,WARTHOG
2023-07-06,Hard,Purple,MUSTACHES,HANDLEBAR,HORSESHOE,PENCIL,WALRUS
2023-07-07,Easiest,Yellow,EUROPEAN COUNTRIES,DENMARK,GREECE,POLAND,PORTUGAL
2023-07-07,Easy,Green,SYNONYMS FOR IMITATE,COPY,ECHO,MIMIC,PARROT
2023-07-07,Medium,Blue,TOMS,CRUISE,HOLLAND,PETTY,WAITS
2023-07-07,Hard,Purple,WORDS SPELLED WITH ROMAN NUMERALS,DILL,LIVID,MILD,MIX
2023-07-08,Easiest,Yellow,HATS,BERET,BOWLER,FEDORA,FEZ
2023-07-08,Easy,Green,ORGANS,HEART,KIDNEY,LIVER,LUNG
2023-07-08,Medium,Blue,PARTS OF A BOOK,COVER,JACKET,PAGE,SPINE
2023-07-08,Hard,Purple,JACK ___,ASS,KNIFE,POT,RABBIT
2023-07-09,Easiest,Yellow,SEVEN DWARFS,BASHFUL,DOC,GRUMPY,HAPPY
2023-07-09,Easy,Green,FILE EXTENSIONS,GIF,PDF,TIFF,ZIP
2023-07-09,Medium,Blue,FLIGHTLESS BIRDS,EMU,KIWI,OSTRICH,PENGUIN
2023-07-09,Hard,Purple,TROPICAL FRUITS,BANANA,COCONUT,MANGO,PINEAPPLE
2023-07-10,Easiest,Yellow,WINGED INSECTS,FLY,GNAT,MOTH,WASP
2023-07-10,Easy,Green,ARITHMETIC OPERATIONS,ADD,DIVIDE,MULTIPLY,SUBTRACT
2023-07-10,Medium,Blue,FISH,TANG,TETRA,SKATE,SOLE
2023-07-10,Hard,Purple,___ CAT,ALLEY,COOL,COPY,LAP
2023-07-11,Easiest,Yellow,NFL PLAYERS,BRONCO,COWBOY,PACKER,RAVEN
2023-07-11,Easy,Green,PASTA SHAPES,BOWTIE,ELBOW,SHELL,SPIRAL
2023-07-11,Medium,Blue,JOINTS,HIP,KNEE,SHOULDER,WRIST
2023-07-11,Hard,Purple,"MOVIES WITH ""!""",AIRPLANE,MOTHER,OKLAHOMA,THEM
2023-07-12,Easiest,Yellow,VEGETABLES THAT ARE ALSO FRUITS,CUCUMBER,EGGPLANT,PEPPER,TOMATO
2023-07-12,Easy,Green,3-D SHAPES,CONE,CUBE,PYRAMID,SPHERE
2023-07-12,Medium,Blue,"WORDS WITH ""i""",MAC,PAD,PHONE,POD
2023-07-12,Hard,Purple,WORDS WITH TWO PRONUNCIATIONS,JOB,LIMA,MOBILE,POLISH
2023-07-13,Easiest,Yellow,SHOE PARTS,HEEL,LACE,SOLE,TONGUE
2023-07-13,Easy,Green,BOARD GAMES,CLUE,RISK,SORRY,TROUBLE
2023-07-13,Medium,Blue,FICTIONAL SPIES,BOND,HUNT,RYAN,SMART
2023-07-13,Hard,Purple,RUBBER ___,BAND,CEMENT,DUCKIE,SOUL
2023-07-14,Easiest,Yellow,BOATS,FERRY,JUNK,TUG,YACHT
2023-07-14,Easy,Green,SANDWICHES,CLUB,CUBAN,MELT,SUB
2023-07-14,Medium,Blue,CUTS OF BEEF,FLANK,LOIN,ROUND,SHANK
2023-07-14,Hard,Purple,NICKNAMES THAT ARE VERBS,CHUCK,JOSH,ROB,SUE
2023-07-15,Easiest,Yellow,PLEASANT SMELLS,AROMA,BOUQUET,FRAGRANCE,SCENT
2023-07-15,Easy,Green,MUSIC GENRES,BLUES,COUNTRY,FUNK,SOUL
2023-07-15,Medium,Blue,ROCK PAPER SCISSORS,PAPER,ROCK,SCISSORS,SHOOT
2023-07-15,Hard,Purple,MALE ANIMALS,BOAR,BUCK,BULL,JACK
2023-07-16,Easiest,Yellow,U.S. COINS,DIME,NICKEL,PENNY,QUARTER
2023-07-16,Easy,Green,METAL ELEMENTS,IRON,LEAD,TIN,ZINC
2023-07-16,Medium,Blue,LUCKY CHARMS MARSHMALLOWS,CLOVER,HORSESHOE,MOON,RAINBOW
2023-07-16,Hard,Purple,___ AND ___,AGAIN,HALF,NECK,SO
2023-07-17,Easiest,Yellow,MARSUPIALS,KANGAROO,KOALA,WALLABY,WOMBAT
2023-07-17,Easy,Green,CHOCOLATE BARS,CHUNKY,CRUNCH,MARS,MOUNDS
2023-07-17,Medium,Blue,SLANG FOR MONEY,CHEDDAR,DOUGH,PAPER,STACKS
2023-07-17,Hard,Purple,NAKED ___,EYE,GUN,MOLE RAT,TRUTH
2023-07-18,Easiest,Yellow,MARINE MAMMALS,DOLPHIN,MANATEE,OTTER,SEAL
2023-07-18,Easy,Green,BIKE PARTS,BRAKE,CHAIN,SADDLE,SPOKE
2023-07-18,Medium,Blue,SYNONYMS FOR SELL,HAWK,MOVE,PEDDLE,VEND
2023-07-18,Hard,Purple,"COUNTRIES WHEN ""A"" IS ADDED",CHIN,CUB,MALT,TONG
2023-07-19,Easiest,Yellow,TREES,ASH,CEDAR,MAPLE,PINE
2023-07-19,Easy,Green,LAND FORMATIONS,HILL,MOUNTAIN,PLATEAU,VALLEY
2023-07-19,Medium,Blue,BAGEL FLAVORS,EVERYTHING,ONION,PLAIN,POPPY
