artist,song_title,lyric_with_blank,answer,full_lyric,difficulty,tag
Arctic Monkeys,505,I crumble _____ when you cry,COMPLETELY,I crumble completely when you cry,Easy,AM Core
Arctic Monkeys,Mardy Bum,I've _____ your frown and it's like looking down the barrel of a gun,SEEN,I've seen your frown and it's like looking down the barrel of a gun,Easy,AM Core
Arctic Monkeys,Do I Wanna Know?,Been _____ if your heart's still open and if so I wanna know what time it shuts,WONDERING,Been wondering if your heart's still open and if so I wanna know what time it shuts,Easy,AM Core
Arctic Monkeys,R U Mine?,She's a silver _____ climbing on my desire,LINING,She's a silver lining climbing on my desire,Medium,AM Core
Arctic Monkeys,Fluorescent Adolescent,The best you ever had is just a _____,MEMORY,The best you ever had is just a memory,Easy,AM Core
Arctic Monkeys,Arabella,The horizon tries but it's just not as _____ on the eyes,KIND,The horizon tries but it's just not as kind on the eyes,Medium,AM Core
Arctic Monkeys,Cornerstone,I saw your sister in the Cornerstone on the phone to the _____,MIDDLEMAN,I saw your sister in the Cornerstone on the phone to the middleman,Medium,AM Core
Arctic Monkeys,Crying Lightning,Your past _____ consisted of the strange and twisted and deranged,TIMES,Your past times consisted of the strange and twisted and deranged,Hard,AM Core
Arctic Monkeys,Why'd You Only Call Me When You're High?,Now it's three in the _____ and I'm trying to change your mind,MORNING,Now it's three in the morning and I'm trying to change your mind,Easy,AM Core
Arctic Monkeys,Snap Out Of It,Under a _____ you're hypnotized / Darling how could you be so blind?,SPELL,Under a spell you're hypnotized / Darling how could you be so blind?,Medium,AM Core
Arctic Monkeys,No. 1 Party Anthem,It's not like I'm _____ in love I just want you to do me no good,FALLING,It's not like I'm falling in love I just want you to do me no good,Hard,AM Core
Arctic Monkeys,Fireside,There's all these secrets that I can't _____ like in my heart there's that hotel suite,KEEP,There's all these secrets that I can't keep like in my heart there's that hotel suite,Hard,AM Core
Arctic Monkeys,A Certain Romance,_____ fuck off might be too kind,PERHAPS,Perhaps fuck off might be too kind,Hard,AM Core
Arctic Monkeys,Teddy Picker,Who'd _____ to be men of the people when there's people like you?,WANT,Who'd want to be men of the people when there's people like you?,Hard,AM Core
Arctic Monkeys,The Bakery,I'm sorry I was late I _____ the train,MISSED,I'm sorry I was late I missed the train,Extreme,AM B-Side
Arctic Monkeys,Despair in the Departure Lounge,She's got her hands in her pockets and she's _____ at her feet,LOOKING,She's got her hands in her pockets and she's looking at her feet,Hard,AM Deep Cut
Arctic Monkeys,Stop The World I Wanna Get Off With You,With the _____ of you I dislike everyone in the room,EXCEPTION,With the exception of you I dislike everyone in the room,Hard,AM B-Side
Arctic Monkeys,Love Is A Laserquest,Do you look into the mirror to _____ yourself you're there?,REMIND,Do you look into the mirror to remind yourself you're there?,Hard,AM Core
Arctic Monkeys,Star Treatment,I just wanted to be one of the _____,STROKES,I just wanted to be one of the Strokes,Hard,AM Modern
Arctic Monkeys,Four Out Of Five,I put a _____ on the roof,TAQUERIA,I put a taqueria on the roof,Hard,AM Modern
Arctic Monkeys,There'd Better Be a Mirrorball,"Don't get emotional, that _____ like you",AINT,"Don't get emotional, that ain't like you",Medium,AM Modern
Arctic Monkeys,Body Paint,There's still a trace of body paint on your _____ and on your arms,LEGS,There's still a trace of body paint on your legs and on your arms,Hard,AM Modern
Arctic Monkeys,You're So Dark,I saw you driving your _____ and even that was Munster Koach-esque,PRIUS,I saw you driving your Prius and even that was Munster Koach-esque,Extreme,AM B-Side
Arctic Monkeys,2013,On the back of a _____ there's a little tiny fruit,TRANSMITTER,On the back of a transmitter there's a little tiny fruit,Extreme,AM B-Side
Arctic Monkeys,Catapult,He could catapult you back to your _____,DADDY,He could catapult you back to your daddy,Extreme,AM B-Side
Arctic Monkeys,Bigger Boys and Stolen Sweethearts,_____ got their hand in their pockets,THEYVE,They've got their hand in their pockets,Hard,AM B-Side
Arctic Monkeys,No Buses,An _____ in your soul and you can't tell them why,ACHE,An ache in your soul and you can't tell them why,Hard,AM B-Side
Arctic Monkeys,Leave Before The Lights Come On,How can you _____ up with someone you don't love?,WAKE,How can you wake up with someone you don't love?,Medium,AM Single
